2026-02-15 10:32:45 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:34:51 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:35:07 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:35:07 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:35:23 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:35:23 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:35:23 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:35:23 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:35:33 | ERROR | [HIGH] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:35:33 | ERROR | [HIGH] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:35:43 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:35:43 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:35:51 | ERROR | [HIGH] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:35:51 | ERROR | [HIGH] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:35:59 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:35:59 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:36:39 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:36:39 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:36:39 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:36:39 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:37:07 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:37:07 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:37:09 | ERROR | [HIGH] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:37:09 | ERROR | [HIGH] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:37:11 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:37:11 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:37:12 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:37:12 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:37:12 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:37:12 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:37:12 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:37:12 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:37:12 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:37:18 | ERROR | [HIGH] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:37:18 | ERROR | [HIGH] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:37:22 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:37:22 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:37:44 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:37:44 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:37:45 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:37:45 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:37:45 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:37:45 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:37:45 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:37:45 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:37:45 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:37:45 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:37:45 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:37:58 | ERROR | [HIGH] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:37:58 | ERROR | [HIGH] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:38:04 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:38:04 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:38:06 | ERROR | [HIGH] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:38:06 | ERROR | [HIGH] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:38:14 | ERROR | [HIGH] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:38:14 | ERROR | [HIGH] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:38:22 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:38:22 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:38:24 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:38:24 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:38:56 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:38:56 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:39:08 | ERROR | [HIGH] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:39:08 | ERROR | [HIGH] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:39:10 | WARNING | [MEDIUM] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:39:10 | WARNING | [MEDIUM] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:39:22 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:39:22 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:39:32 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:39:32 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:39:34 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:39:34 | ERROR | [HIGH] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:39:44 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:39:44 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:39:46 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:39:46 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:39:58 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:39:58 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:40:42 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:40:42 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:40:56 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:40:56 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:41:05 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:41:05 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:41:35 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:41:35 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:41:43 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:41:43 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:42:07 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:42:07 | WARNING | [MEDIUM] LIVE:SQL Injection | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Simulated live stream: SQL Injection from 10.99.88.12
2026-02-15 10:42:15 | ERROR | [HIGH] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:42:15 | ERROR | [HIGH] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:42:17 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:42:17 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:42:31 | WARNING | [MEDIUM] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:42:31 | WARNING | [MEDIUM] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:42:37 | ERROR | [HIGH] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:42:37 | ERROR | [HIGH] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:42:47 | WARNING | [MEDIUM] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:42:47 | WARNING | [MEDIUM] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:42:51 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:42:51 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:42:51 | ERROR | [HIGH] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:42:51 | ERROR | [HIGH] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:43:21 | WARNING | [MEDIUM] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:43:21 | WARNING | [MEDIUM] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:43:25 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:43:25 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:43:29 | ERROR | [HIGH] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:43:29 | ERROR | [HIGH] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:43:53 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:43:53 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
